userName,score,at,content,sumber_bank,teks_bersih
Pengguna Google,5,2026-02-26 10:23:23,sangat membantu,BCA,sangat bantu
Pengguna Google,1,2026-02-26 10:12:13,"tdk seperti image yg orang bilang, hanya nasabah tertentu saja pelayanan diberikan yg terbaik",BCA,tidak_seperti image orang bilang tertawa nasabah tentu layan beri baik
Pengguna Google,1,2026-02-26 09:01:08,selalu ditelpon asuransi chublife.. bilangnya dapat nomor kontak dari bank BCA.. bikin ganggu aja..,BCA,selalu telpon asuransi chublife bilang nomor kontak bank bank central asia bikin ganggu
Pengguna Google,1,2026-02-26 07:17:32,bosen minta verifikasi trus or tidak di kenal parah udah benar nmor sya itu sya udah lama pake nmor ituasih ajj nanya.. bintang 1 aj lah 😠,BCA,bosen minta verifikasi kemudian or tidak_di kenal banget bener nmor sya sya lambat pake nmor ituasih ajj nanya bintang aj partikel
Pengguna Google,5,2026-02-26 05:55:20,terbaik,BCA,baik
Pengguna Google,5,2026-02-26 05:43:04,very good,BCA,very good
Pengguna Google,5,2026-02-26 04:18:16,bagus bangat,BCA,baik bangat
Pengguna Google,5,2026-02-26 03:56:14,Good,BCA,good
Pengguna Google,5,2026-02-26 03:28:01,mudah digunakan,BCA,mudah guna
Pengguna Google,3,2026-02-26 01:46:17,QRIS nya susah bngt woooiii,BCA,qr code indonesia standard nya sulit sangat woi
Pengguna Google,1,2026-02-26 01:16:34,"bca makin jelek, ke babi kaloau masuk aplikasi harus pakai wifi, padahal paket internet sendiri masi banyak, kalo ngga pake wifi ngga bisa masuk, lampu indikator nya tetap merah, tapi kalo pake wifi langsung berubah indikator nya, gimna ini, jadi kalo kita mau transaksi diluar wifi ngga bisa harus nunggu wifi baru bisa gimna ibu bca sebelum nya ngga ke gini",BCA,bank central asia makin buruk babi kaloau hasil aplikasi tertawa pakai wifi padahal paket internet sendiri mas banyak tidak_pake wifi tidak_dapat hasil lampu indikator nya tetap merah pake wifi segera ubah indikator nya gimna jadi transaksi luar wifi tidak_dapat tertawa nunggu wifi new gimna ibu bank central asia nya tidak_ke gin
Pengguna Google,5,2026-02-26 01:05:57,ok,BCA,baik
Pengguna Google,2,2026-02-26 00:42:54,ini mbanking bca lg kenapa dah susah bgt .. merah trs kocak emang..,BCA,mobile banking bank central asia sulit sangat merah kemudian kocak emang
Pengguna Google,5,2026-02-26 00:22:20,bagus,BCA,baik
Pengguna Google,1,2026-02-26 00:17:56,mohon maaf bca sekrg sanggaat lemot kayak siput... gak seperti dulu.,BCA,mohon maaf bank central asia sekrg sanggaat lambat siput tidak_seperti lebih
Pengguna Google,2,2026-02-25 23:30:16,kenapa gak bisa di buka bca nya,BCA,tidak_dapat buka bank central asia nya
Pengguna Google,3,2026-02-25 21:41:46,"Hendphon sy bermasalah pada micnya. Sy pengin bisa menggunakan mbanking di hendphon ini, tp kendala di mic. Utk call, sy bisa denger tp suara sy tdk ada disana. Sy tdk bisa klarifikasi melalui video call. Menggunakan cable headset jg tdk bisa. Sya coba melalui headset bluetuth tetap tdk bisa, pdahal sy coba call wa video call maupun call headset bluetuth tersebut bekerja baik. Tp saat vidio call melalui aplikasi Mybca auto di loudspiker seolah memutus kerja headset bluetuth. Tolong solusinya",BCA,tertawa masalah micnya pengin guna mobile banking tertawa masalah mic call denger suara tidak_ada sana tidak_dapat klarifikasi lalu video call guna cable tertawa tidak_dapat sya coba lalu tertawa bluetuth tetap tidak_dapat pdahal coba call wa video call maupun call tertawa bluetuth sebut kerja bagus vidio call lalu aplikasi mybca auto loudspiker putus kerja tertawa bluetuth bantu solusi
Pengguna Google,1,2026-02-25 21:39:05,kenapa susah banget sih indikatornya buat hijau..sllu aja merah..mau transfer dll jdnya susah..perlu sekenceng dan segede apa sih mbps wifi..pdhl buka apk lain lancar2 aja..knp pas buka mbanking merah trs gk mau hjau indikatornya..mau transfer yg hrsnya gmpg jd ssh..lgian knp hrs tunggu indikator hijau dl baru bs. digunain sih????tlg lah lbh perbaikin lg mslh2 kyk gni..,BCA,sulit sangat partikel indikator tertawa sllu merah transfer jdnya sulit perlu kenceng gede partikel mbps wifi pdhl buka aplikasi lancar2 knp pas buka mobile banking merah kemudian tidak_ingin hjau indikator transfer hrsnya gmpg jadi ssh lgian knp hrs tunggu indikator tertawa lebih new bs digunain partikel bantu partikel lebih perbaikin mslh2 kyk gni
Pengguna Google,5,2026-02-25 21:14:41,"sangat"" membatu sx",BCA,sangat batu sx
Pengguna Google,5,2026-02-25 21:07:58,terkadang saat sudah slesai transaksi suka loading . dibantu perbaikan nya. thx,BCA,terkadang slesai transaksi suka loading bantu baik nya terima kasih
Pengguna Google,1,2026-02-25 20:41:59,ini gmn sih verifikasi wajah . gak bisa bisa .aneh,BCA,bagaimana partikel verifikasi wajah tidak_dapat aneh
Pengguna Google,1,2026-02-25 20:09:16,kenapa selalu minta verivasi ulang??. dan saldoku kenapa berkurang padahal tidak aku gunakan??,BCA,selalu minta verivasi ulang saldo kurang padahal tidak_saya guna
Pengguna Google,1,2026-02-25 19:57:53,"proses lama, nunggu indikator hijau. kurang satset",BCA,proses lambat nunggu indikator tertawa kurang_satset
Pengguna Google,5,2026-02-25 19:28:34,lebih mudah bertransaksi,BCA,lebih mudah transaksi
Pengguna Google,1,2026-02-25 18:51:51,saya mau pindah device ke HP baru saya sudah verifikasi berberapa kali sampai pulsa saya habis tapi tidak bisa juga sedangkan pas saya mau beli pulsa dengan login ke device lama saya tidak bisa. dan saya lagi urgent banget soalnya HP saya mau saya perbaiki,BCA,pindah device handphone new verifikasi berapa kali pulsa tertawa tidak_dapat pas beli pulsa login device lambat tidak_dapat penting sangat handphone baik
Pengguna Google,1,2026-02-25 16:48:01,uang saya terus di ambil ketika ada yang transfer ke rekening saya memang membagongkan bca,BCA,uang kemudian ambil transfer rekening memang bagong bank central asia
Pengguna Google,1,2026-02-25 16:42:03,"harus kirim SMS berapa kali supaya bisa diverifikasi. ujung2nya gagal, mana SMSmya berbayar 2000+PPn ada 8X SMS, gini amat BCA sekarang",BCA,tertawa kirim sms berapa kali verifikasi ujung2nya gagal mana smsmya bayar ppn 8x sms gin bank central asia skrg
Pengguna Google,5,2026-02-25 16:38:08,sangat puas pelayanannya,BCA,sangat puas layan
Pengguna Google,4,2026-02-25 15:42:11,kenapa sekarang dikit2 logout sendiri dan input ulang no atm dan itu pakai pulsa untuk aktifkan kembali,BCA,skrg dikit2 logout sendiri input ulang tidak_saat pakai pulsa aktif
