userName,score,at,content,sumber_bank,teks_bersih,label,label_code
Pengguna Google,1,2026-02-12 08:31:30,"buka deposito via BNI Wondr, eh pencairan HARUS ke kantor BNI! dan yg terbaru pencairan bisa di Wondr tapi versinya 1.5.0,namun hingga saat ini belum ""ada versi"" tersebut. BENAR² MENGECEWAKAN!!!",BNI,buka deposito via bank negara indonesia wondr eh cair tertawa kantor bank negara indonesia latest cair wondr versi tertawa belum version sebut benar2 kecewa,negative,0
Pengguna Google,5,2026-02-11 12:23:10,aplikasi BRIMO sangat mudah dn praktis,BRI,aplikasi brimo sangat mudah dn praktis,positive,2
Pengguna Google,5,2025-09-12 08:29:41,untuk transaksi lainnya ok. tapi disaat melakukan transaksi qris bermasalah/gagal sampai 3 kali. tapi saldo kok kepotong. gimana caranya agar saldo bisa kembali lagi,BCA,transaksi lain baik saat laku transaksi qr code indonesia standard masalah gagal kali saldo potong bagaimana cara saldo,positive,2
Pengguna Google,1,2025-10-07 16:04:25,tiba tiba terkunci,BCA,tiba tiba kunci,negative,0
Diary PUTRA Chanel,5,2026-01-21 23:32:48,sangat membantu dan mudah digunakan,BRI,sangat bantu mudah guna,positive,2
Pengguna Google,5,2026-02-18 20:28:56,"aplikasi ini sangat membantu,cepat dan mudah digunakan",BNI,aplikasi sangat bantu cepat mudah guna,positive,2
Pengguna Google,5,2026-01-30 12:07:01,di bantu,BRI,,positive,2
Pengguna Google,1,2026-02-23 10:30:15,sudah 2 hp blank screen semua,BRI,handphone layar putih screen semua,negative,0
Pengguna Google,5,2025-08-22 11:13:25,mantaapp,BCA,mantaapp,positive,2
Pengguna Google,3,2025-12-24 08:31:48,"aplikasi ribet ,, harus verifikasi terus tetap harus ke cabang untuk verifikasi KTP",BNI,aplikasi rumit tertawa verifikasi kemudian tetap tertawa cabang verifikasi ktp,neutral,1
Pengguna Google,1,2026-02-13 21:27:29,selama ini brimo gak ada masalah tapi akhir-akhir ini bayar cris pending dan saldo terpotong sampai sekarang pun masih pending .. . dan saldo gak kembali makin kesini bukanya bukanya makin bagus malah sering banyak kendala ...,BRI,lama brimo tidak_ada kendala akhir akhir bayar cris pending saldo potong skrg pending saldo tidak_kembali makin kesini buka buka makin baik malah sering banyak masalah,negative,0
Pengguna Google,1,2025-08-01 06:22:48,"dipakai buat bayar ccilan pulsa aplikasi, ga mesti ribet pin benar disalahin ujungnya keblokir, ujung nya nasabah jadi bayar cicilan terlamat.. mohon pertimbangkan konsekuensinya klo ikutin aturan pemerintah harus benar2 tepat sasaan",BCA,pakai bayar ccilan pulsa aplikasi tidak_mesti rumit kode akses bener disalahin ujung blokir ujung nya nasabah jadi bayar cicil terlamat mohon timbang konsekuensi ikutin atur perintah tertawa benar2 tepat sasa,negative,0
Pengguna Google,1,2025-09-26 06:38:16,"jelek, sampah beberapa kali top up Flazz saldo kepotong, tp ga masuk ke kartu, mau laporan belibet mana cuma 30, 40 rp kl di kumpulin lumayan",BCA,buruk sampah beberapa kali top upload kartu flazz saldo potong tidak_berhasil kartu lapor belibet mana rp kumpulin lumayan,negative,0
Pengguna Google,5,2026-01-08 18:08:31,sangat membantu tida repot2 harus k ATM,BCA,sangat bantu tida repot2 tertawa oke,positive,2
